NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;5.000000;6;42636.949067;26.430880;25.039427;1170;31;1822.669491
8;5;0.000;5.000000;6;40707.102190;26.051041;24.993761;1170;33;2002.843291
9;5;0.000;5.000000;6;39197.962807;26.499184;24.795877;1170;33;2253.242555
10;5;0.000;5.000000;6;37479.787970;26.660103;28.227400;1170;33;2386.326368
11;5;0.000;5.000000;6;35979.398928;26.730284;26.515076;1170;34;2408.016216
12;5;0.000;5.000000;6;34778.707545;27.312338;22.700190;1170;34;2433.396123
13;5;0.000;5.000000;6;33583.168938;27.155624;26.566870;1170;34;2470.315674
14;5;0.000;5.000000;6;32601.354073;27.061028;26.563774;1170;34;2446.235835
15;5;0.000;5.000000;6;31694.600583;26.918577;26.558470;1170;34;2409.846600
16;5;0.000;5.000000;6;30879.052152;26.720846;26.510878;1170;34;2364.752262
17;5;0.000;5.000000;6;30113.429380;26.426455;24.898369;1170;34;2315.100078
18;5;0.000;5.000000;6;29228.897116;25.644073;23.337622;1170;34;2263.652008
19;5;0.000;5.000000;6;28620.556257;25.583277;23.330652;1170;34;2210.283479
20;5;0.000;5.000000;6;27872.633468;24.896151;21.722147;1170;33;2121.872865
