NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;5.000000;6;36477.478440;92.578468;96.468536;1170;28;2034.927691
8;5;0.000;5.000000;6;34512.250418;93.238091;85.062958;1170;27;2331.264094
9;5;0.000;5.000000;6;32829.670373;93.830193;95.318016;1170;27;2424.904791
10;5;0.000;5.000000;6;31486.668699;93.599487;95.116394;1170;26;2469.619697
11;5;0.000;5.000000;6;30377.883557;92.582222;91.840569;1170;26;2428.617550
12;5;0.000;5.000000;6;29409.792482;92.377136;94.970848;1170;25;2335.966349
13;5;0.000;5.000000;6;28594.151879;91.496246;96.576782;1170;25;2265.202048
14;5;0.000;5.000000;6;27821.491925;90.915489;93.399414;1170;25;2191.483694
15;5;0.000;5.000000;6;27145.458010;90.553276;90.116203;1170;25;2118.438450
16;5;0.000;5.000000;6;26548.484184;90.079750;90.112007;1170;25;2047.563682
17;5;0.000;5.000000;6;26016.461487;89.931664;90.015739;1170;25;1978.387095
18;5;0.000;5.000000;6;25543.023529;89.358795;88.405975;1170;25;1912.207922
19;5;0.000;5.000000;6;25086.935854;89.019653;88.346046;1170;25;1849.434159
20;5;0.000;5.000000;6;24667.308150;89.024757;88.358818;1170;25;1789.808563
