NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
15;5;0.000;5.000000;5;24635.692424;66.997330;69.764496;975;40;2486.732386
15;6;0.000;5.000000;5;23440.061318;74.698746;74.003212;1170;46;2477.851560
15;7;0.000;5.000000;5;22927.788828;86.058609;83.988358;1365;47;2414.628129
15;8;0.000;5.000000;5;22326.683427;100.446426;101.994186;1560;52;2387.448948
15;9;0.000;5.000000;5;22004.662838;86.504204;92.502472;1755;58;2379.985679
15;10;0.000;5.000000;5;21514.627404;50.063187;66.652084;1950;61;2329.900629
15;11;0.000;5.000000;5;21255.679139;55.682678;53.333328;2145;62;2249.699758
15;12;0.000;5.000000;5;20979.587787;59.093731;56.666660;2340;64;2194.765800
15;13;0.000;5.000000;5;20813.154743;64.784912;60.003735;2535;66;2141.792498
15;14;0.000;5.000000;5;20584.895430;68.024849;63.335003;2730;68;2081.924467
15;15;0.000;5.000000;5;20438.561529;71.514015;70.001671;2925;71;2056.985848
15;16;0.000;5.000000;5;20319.064822;77.496544;73.331718;3120;76;2055.136752
15;17;0.000;5.000000;5;20179.426562;81.345512;79.976669;3315;81;2054.503718
15;18;0.000;5.000000;5;20053.051795;84.919205;83.308334;3510;84;2035.485820
15;19;0.000;5.000000;5;19948.533164;90.534920;86.668335;3705;90;2057.022261
15;20;0.000;5.000000;5;19813.637581;92.825615;90.001671;3900;93;2033.026715
