NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
15;5;0.000;5.000000;5;25416.192613;73.650085;71.641907;975;32;2376.740033
15;6;0.000;5.000000;5;24553.854979;86.607162;87.693184;1170;36;2317.963376
15;7;0.000;5.000000;5;23823.160564;102.084435;102.103073;1365;43;2341.288710
15;8;0.000;5.000000;5;23086.783698;113.302345;104.071396;1560;47;2297.356317
15;9;0.000;5.000000;5;22354.776135;120.057983;114.030296;1755;45;2121.321259
15;10;0.000;5.000000;5;21859.486175;113.845421;110.004936;1950;46;2022.470430
15;11;0.000;5.000000;5;21389.443216;98.316444;153.310608;2145;47;1929.104359
15;12;0.000;5.000000;5;21012.592003;96.883553;139.988678;2340;46;1794.594849
15;13;0.000;5.000000;5;20720.742341;97.862450;120.007957;2535;46;1694.773777
15;14;0.000;5.000000;5;20419.416320;102.334007;130.003815;2730;44;1552.764315
15;15;0.000;5.000000;5;20207.729629;106.494804;123.332825;2925;46;1524.664866
15;16;0.000;5.000000;5;20017.880183;111.828545;119.980003;3120;47;1468.852038
15;17;0.000;5.000000;5;19855.757046;116.729187;113.338478;3315;51;1493.148998
15;18;0.000;5.000000;5;19691.527371;122.920929;130.003357;3510;51;1430.198516
15;19;0.000;5.000000;5;19574.448646;127.091423;140.001694;3705;54;1432.907624
15;20;0.000;5.000000;5;19421.387109;129.323364;133.336700;3900;55;1397.364465
