NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
15;5;0.000;5.000000;5;29106.929484;24.480354;22.002872;975;28;2244.613750
15;6;0.000;5.000000;5;28571.010798;28.900141;26.000702;1170;31;2154.677517
15;7;0.000;5.000000;5;27702.738994;31.678120;29.985279;1365;34;2084.062444
15;8;0.000;5.000000;5;27377.393054;35.914021;32.002796;1560;37;2025.628242
15;9;0.000;5.000000;5;26711.060782;38.208885;35.995979;1755;41;2008.701205
15;10;0.000;5.000000;5;26057.013125;39.889610;36.003986;1950;43;1938.293007
15;11;0.000;5.000000;5;26346.647908;46.974480;45.989693;2145;48;1957.247385
15;12;0.000;5.000000;5;25858.005957;48.837467;46.000832;2340;52;1949.562569
15;13;0.000;5.000000;5;25649.008333;52.559654;50.000599;2535;55;1919.496423
15;14;0.000;5.000000;5;25313.272497;55.138927;52.002045;2730;58;1894.011848
15;15;0.000;5.000000;5;25197.295973;59.198631;57.973763;2925;62;1891.647523
15;16;0.000;5.000000;5;25066.268468;63.258263;59.999500;3120;65;1870.520826
15;17;0.000;5.000000;5;24834.671769;66.228882;64.001755;3315;69;1869.864220
15;18;0.000;5.000000;5;24697.471686;69.981773;67.987999;3510;72;1851.474595
15;19;0.000;5.000000;5;24500.781594;73.152702;71.999374;3705;76;1851.516714
15;20;0.000;5.000000;5;24291.485361;75.487411;72.004021;3900;79;1837.125794
