NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
10;5;0.000;5.000000;5;28594.755670;70.553635;87.573860;975;38;2169.323350
10;6;0.000;5.000000;5;26614.449323;79.673935;87.973442;1170;39;2416.162306
10;7;0.000;5.000000;5;25881.030409;87.338036;101.896584;1365;40;2480.677103
10;8;0.000;5.000000;5;25000.810281;99.799805;99.995209;1560;44;2478.613693
10;9;0.000;5.000000;5;24587.331052;89.173271;89.988602;1755;49;2476.365468
10;10;0.000;5.000000;5;23984.696237;55.471588;66.666710;1950;50;2450.677440
10;11;0.000;5.000000;5;23582.214535;60.017456;69.986656;2145;54;2438.344503
10;12;0.000;5.000000;5;23281.286842;62.078583;76.651657;2340;59;2441.908200
10;13;0.000;5.000000;5;22977.445276;63.419682;59.982067;2535;63;2436.656909
10;14;0.000;5.000000;5;22655.240917;66.917175;63.338329;2730;68;2432.841771
10;15;0.000;5.000000;5;22419.799490;70.768555;66.670105;2925;70;2412.522223
10;16;0.000;5.000000;5;22209.183596;76.528664;76.643280;3120;72;2382.598674
10;17;0.000;5.000000;5;21994.807724;80.120552;79.998337;3315;74;2351.328972
10;18;0.000;5.000000;5;21849.339982;84.392738;83.336662;3510;76;2331.573168
10;19;0.000;5.000000;5;21678.882512;88.775337;86.668335;3705;79;2319.447579
10;20;0.000;5.000000;5;21504.468398;91.865318;86.670006;3900;81;2292.961080
