NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
10;5;0.000;5.000000;5;29622.737716;73.600258;65.951324;975;32;2435.731040
10;6;0.000;5.000000;5;28386.352636;86.549759;75.911880;1170;36;2469.856284
10;7;0.000;5.000000;5;27336.009561;102.026878;102.084648;1365;43;2456.353087
10;8;0.000;5.000000;5;26274.212985;113.240494;108.036209;1560;47;2472.397339
10;9;0.000;5.000000;5;25216.183233;119.970764;124.023399;1755;45;2453.712808
10;10;0.000;5.000000;5;24500.829239;113.745819;110.022011;1950;46;2405.099644
10;11;0.000;5.000000;5;23821.036830;98.205925;143.335159;2145;48;2361.115977
10;12;0.000;5.000000;5;23275.427710;96.774162;139.991974;2340;46;2235.714601
10;13;0.000;5.000000;5;22853.104651;97.722786;113.336250;2535;46;2146.992987
10;14;0.000;5.000000;5;22416.663019;102.169594;130.002151;2730;43;1978.648478
10;15;0.000;5.000000;5;22110.168029;106.357292;123.313988;2925;46;1977.818298
10;16;0.000;5.000000;5;21834.931241;111.718231;119.999542;3120;47;1920.094096
10;17;0.000;5.000000;5;21600.229007;116.549797;120.003387;3315;51;1945.735541
10;18;0.000;5.000000;5;21362.160431;122.740631;136.671738;3510;51;1877.946980
10;19;0.000;5.000000;5;21193.488846;126.482262;139.973694;3705;54;1881.088553
10;20;0.000;5.000000;5;20970.358981;129.037857;156.669983;3900;55;1840.517379
