NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;3.000000;5;40748.943945;72.740196;72.522377;1650;36;1062.584515
7;5;0.000;4.000000;5;37041.764247;71.709427;81.603958;1225;36;1061.994722
7;5;0.000;5.000000;5;33873.093265;76.180710;81.945259;975;35;1242.597064
7;5;0.000;6.000000;5;31571.560406;75.221359;85.694138;825;32;1704.623871
7;5;0.000;7.000000;5;29841.245957;71.170303;79.875687;700;27;2237.137573
7;5;0.000;8.000000;5;28671.052297;69.730362;79.696831;600;24;2414.489923
7;5;0.000;9.000000;5;27880.576236;68.470726;72.003342;550;22;2474.046091
7;5;1.000;10.000000;5;27215.511038;68.147194;75.702377;475;19;2473.300249
7;5;1.000;11.000000;5;26885.290303;67.865196;64.197861;450;18;2449.840087
7;5;1.000;12.000000;5;26430.993175;66.609482;64.186325;400;18;2450.248586
7;5;1.000;13.000000;5;26056.287512;66.323082;68.057297;375;17;2415.387895
7;5;1.000;14.000000;5;25737.033163;65.070114;65.758995;350;16;2367.942155
7;5;1.000;15.000000;5;25416.233131;65.585663;67.695229;325;16;2368.748037
