NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;3.000000;5;41517.236164;68.551170;73.492554;1650;36;1062.548111
7;5;0.000;4.000000;5;37564.778936;74.142082;74.315468;1225;34;1238.741770
7;5;0.000;5.000000;5;34608.268625;73.570808;71.643875;975;32;1703.867521
7;5;0.000;6.000000;5;32528.349285;73.669479;64.374847;825;28;2153.612664
7;5;0.000;7.000000;5;31062.808547;75.033112;67.715096;700;23;2448.846622
7;5;0.000;8.000000;5;29782.617970;75.253922;77.639793;600;19;2472.265399
7;5;0.000;9.000000;5;28768.701257;75.750549;81.977570;550;17;2412.815548
7;5;1.000;10.000000;5;28067.376770;75.109482;75.645874;475;16;2366.184543
7;5;1.000;11.000000;5;27700.230950;75.008659;62.317833;450;15;2307.529893
7;5;1.000;12.000000;5;27138.439555;76.057358;68.188019;400;14;2236.304295
7;5;1.000;13.000000;5;26671.928728;74.721199;84.915016;375;14;2239.064983
7;5;1.000;14.000000;5;26327.472377;74.254723;70.415688;350;15;2310.764835
7;5;1.000;15.000000;5;26006.596155;74.517685;69.705933;325;11;1953.558115
