NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;3.000000;5;44909.526546;32.680485;44.514839;1650;34;1403.947754
7;5;0.000;4.000000;5;42237.458525;25.116587;23.994747;1225;28;2144.421602
7;5;0.000;5.000000;5;40411.742576;25.515392;22.056419;975;26;2292.238621
7;5;0.000;6.000000;5;37383.820323;25.246946;25.488733;825;23;2423.938589
7;5;0.000;7.000000;5;35467.450235;25.517593;23.990635;700;20;2420.431930
7;5;0.000;8.000000;5;34185.012929;26.084951;25.820087;600;18;2442.972442
7;5;0.000;9.000000;5;32840.988106;25.890972;20.138491;550;18;2442.809259
7;5;1.000;10.000000;5;31382.332408;13.851982;8.939249;475;3;1031.996849
7;5;1.000;11.000000;5;30177.200194;13.835576;9.013346;430;3;1148.310147
7;5;1.000;12.000000;5;29320.946651;13.535980;8.642285;400;3;1161.604892
7;5;1.000;13.000000;5;28504.340970;13.464457;8.611710;370;1;1031.767859
7;5;1.000;14.000000;5;27874.723990;13.333956;9.246237;340;0;1020.741691
7;5;1.000;15.000000;5;27479.817480;13.351257;9.107029;320;0;976.025065
