NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples;NbOfNodesHighCpuUsage;VarianceCpuUsage
7;5;0.000;3.000000;5;41663.603764;73.038742;59.151447;1650;36;1060.779918
7;5;0.000;4.000000;5;38375.878574;76.335014;81.984634;1225;31;1693.036353
7;5;0.000;5.000000;5;35377.392223;78.142563;79.605453;975;24;2325.873968
7;5;0.000;6.000000;5;33368.535713;78.625687;79.709641;825;20;2481.943079
7;5;0.000;7.000000;5;31929.675947;77.273712;73.860031;700;16;2363.145469
7;5;0.000;8.000000;5;30756.569905;75.997139;75.767479;600;14;2233.733669
7;5;0.000;9.000000;5;29826.201498;75.115868;73.947128;550;12;2056.518046
7;5;1.000;10.000000;5;29057.249537;74.891220;74.004654;475;11;1951.255164
7;5;1.000;11.000000;5;28507.130662;74.405411;75.885597;450;11;1951.311430
7;5;1.000;12.000000;5;27930.947175;74.487984;72.130692;400;9;1702.682720
7;5;1.000;13.000000;5;27488.324384;74.297638;72.009598;375;8;1560.724732
7;5;1.000;14.000000;5;27117.914540;73.378723;72.007629;350;8;1560.861939
7;5;1.000;15.000000;5;26682.165709;73.206902;72.005402;325;7;1407.739661
