NumberOfLayers;NumberOfNodePerLayer;TokenDelay;TransmitRate;NumberOfSensorTypes;AvgEnergie;AvgAppLoopDelay;AvgTupleCpuExecutionDelay;TotalExecutedTuples
7;4;0.000;5.000000;6;19922.718151;17.673010;15.924515;456
7;4;0.000;6.000000;6;18473.160249;17.925478;14.429049;384
7;4;0.000;7.000000;6;17608.669174;18.193598;16.018396;336
7;4;1.000;8.000000;6;17233.920146;11.402603;7.198483;282
7;4;1.000;9.000000;6;16669.251299;11.567365;6.707909;240
7;4;1.000;10.000000;6;15936.932968;11.144061;6.402178;216
7;4;1.000;11.000000;6;15281.267099;10.752267;7.519127;192
7;4;1.000;12.000000;6;14812.255873;10.597278;7.252990;186
7;4;1.000;13.000000;6;14591.912574;10.588915;6.639135;168
7;4;1.000;14.000000;6;14254.676286;10.792716;7.977320;150
7;4;1.000;15.000000;6;14272.155660;10.824059;7.161930;144
7;4;2.000;16.000000;6;13833.283131;13.312226;6.476648;126
7;4;2.000;17.000000;6;13733.683008;12.606293;7.207267;120
7;4;2.000;18.000000;6;13664.042139;13.211205;7.613349;120
7;4;2.000;19.000000;6;13410.141994;12.519021;6.541378;108
7;4;2.000;20.000000;6;13281.539428;13.054886;6.543982;96
